Country,Year,Inflation,Real_Interest_Rate
China,2010,3.85,-0.53
China,2011,1.5,1.44
China,2012,2.25,0.25
China,2013,3.92,-1.25
China,2014,3.89,-0.67
China,2015,4.92,-0.67
China,2016,1.42,0.68
China,2017,2.96,0.36
China,2018,3.04,-1.13
China,2019,4.28,-1.82
China,2020,3.08,-0.27
China,2021,2.46,-0.75
China,2022,2.02,-0.08
China,2023,2.5,-0.6
United States,2010,1.89,1.72
United States,2011,2.86,-0.73
United States,2012,3.89,-0.45
United States,2013,2.57,0.5
United States,2014,4.45,0.23
United States,2015,3.83,-0.55
United States,2016,1.32,0.85
United States,2017,4.13,-0.77
United States,2018,3.83,0.28
United States,2019,2.23,1.21
United States,2020,2.01,1.04
United States,2021,4.76,-2.35
United States,2022,4.16,-1.87
United States,2023,1.9,0.18
United Kingdom,2010,1.06,-0.11
United Kingdom,2011,2.16,0.54
United Kingdom,2012,4.52,-0.79
United Kingdom,2013,2.62,0.89
United Kingdom,2014,4.49,0.13
United Kingdom,2015,1.39,0.23
United Kingdom,2016,3.98,0.09
United Kingdom,2017,4.39,-0.54
United Kingdom,2018,3.71,-0.27
United Kingdom,2019,1.07,1.67
United Kingdom,2020,4.8,-0.49
United Kingdom,2021,2.5,1.17
United Kingdom,2022,3.48,0.6
United Kingdom,2023,3.32,0.39
Japan,2010,1.37,0.81
Japan,2011,0.55,0.52
Japan,2012,-0.32,1.46
Japan,2013,-0.25,0.91
Japan,2014,-0.03,1.86
Japan,2015,1.26,1.28
Japan,2016,1.45,1.57
Japan,2017,0.37,1.38
Japan,2018,-0.42,2.04
Japan,2019,0.39,0.69
Japan,2020,0.98,1.09
Japan,2021,-0.3,1.29
Japan,2022,1.23,-0.08
Japan,2023,0.87,0.11
Germany,2010,3.4,0.08
Germany,2011,2.48,-0.34
Germany,2012,1.48,2.1
Germany,2013,1.16,2.09
Germany,2014,1.55,-0.2
Germany,2015,3.0,0.41
Germany,2016,4.98,-0.46
Germany,2017,2.05,1.17
Germany,2018,4.72,-0.14
Germany,2019,3.38,-0.72
Germany,2020,4.51,-2.03
Germany,2021,1.03,0.54
Germany,2022,2.61,1.32
Germany,2023,1.19,0.24
